Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
Unnamed,HU,364,1614,91.219.237.154,sa1045.azar-a.net,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-11-04,SERVERASTRA-AS - HU,56322,1440,None
zesaver,UA,364,434,46.119.253.244,46-119-253-244.broadband.kyivstar.net,59031,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2015-11-11,KSNET-AS - UA,15895,2040,None
Latrine,IL,365,9608,81.218.91.154,bzq-218-91-154.red.bezeqint.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.5.10 on Linux,0,0,2014-04-08,BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone- IL,8551,1390,None
Rescue,DE,365,5028,89.163.128.66,tor.server.rescue,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2015-08-25,UNITEDCOLO-AS - DE,13301,1170,None
LibertarianHeart,DK,366,87,87.73.84.77,ip5794.amb314.cust.comxnet.dk,443,8080,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-12-23,DK-DANSKKABELTV - DK,15516,2410,None
cosmotor,DE,367,41,78.47.98.200,static.200.98.47.78.clients.your-server.de,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-01-28,HETZNER-AS - DE,24940,1380,[2a01:4f8:c17:251d::2]:443
oark,DE,368,9583,136.243.107.4,static.4.107.243.136.clients.your-server.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2015-12-13,HETZNER-AS - DE,24940,1350,None
qgzdluswznpw7opn,SK,368,4084,188.123.110.15,lh-gw110-15.imafex.sk,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-08-14,IMAFEX-AS - SK,58328,1460,None
Unnamed,RU,368,1213,92.50.161.246,92.50.161.246.static.ufanet.ru,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-03-19,UBN-AS - RU,24955,2170,None
CottasRelay,AT,369,201,212.186.71.38,212-186-71-38.static.upcbusiness.at,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-12-23,LGI-UPC formerly known as UPC Broadband Holding B.V.- AT,6830,2800,None
PoopiepantsBrigade,FR,369,660,91.121.28.64,go3team.seedstuff.ca,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.9.8 on Linux,0,0,2013-10-24,OVH - FR,16276,2850,None
hailden,US,370,72,98.225.154.183,c-98-225-154-183.hsd1.pa.comcast.net,443,9,0,0,1,1,0,1,1,1,1,Tor 0.3.0.2-alpha on Linux,0,0,2014-07-24,COMCAST-7922 - Comcast Cable Communications- LLC- US,7922,2400,None
mablab,DE,370,170,78.46.162.51,qsb.at.xencon.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-09-25,HETZNER-AS - DE,24940,1580,None
ratchet,US,370,743,104.243.35.196,104.243.35.196.afterburst.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-07-24,AS-CHOOPA - Choopa- LLC- US,20473,1930,None
